# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov 13 15:10:53 CET 2022
# PARSEC isochrones, release v1.0 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.60000 0.9000000358 2.4492786175    0.899 -0.197  3.6386  4.095    0 5.262 8.048 7.060 5.906 5.191 4.608 3.770 3.066 2.978
0.0152 0.01508 6.60000 0.9500000477 2.4618122009    0.950 -0.157  3.6438  4.099    0 5.161 7.852 6.898 5.764 5.066 4.501 3.683 2.996 2.911
0.0152 0.01508 6.60000 1.0000000000 2.4729154477    1.000 -0.117  3.6490  4.103    0 5.062 7.655 6.736 5.622 4.942 4.394 3.597 2.926 2.844
0.0152 0.01508 6.60000 1.0059416294 2.4741507607    1.006 -0.112  3.6496  4.103    0 5.050 7.633 6.718 5.606 4.928 4.382 3.587 2.919 2.837
0.0152 0.01508 6.60000 1.0499999523 2.4828114860    1.050 -0.074  3.6544  4.103    0 4.956 7.451 6.567 5.474 4.812 4.281 3.504 2.852 2.773
0.0152 0.01508 6.60000 1.0948327780 2.4908066989    1.094 -0.039  3.6591  4.105    0 4.868 7.281 6.431 5.355 4.709 4.188 3.430 2.794 2.717
0.0152 0.01508 6.60000 1.1000000238 2.4916801480    1.099 -0.035  3.6596  4.105    0 4.858 7.261 6.415 5.341 4.697 4.178 3.421 2.787 2.711
0.0152 0.01508 6.60000 1.1499999762 2.4996678137    1.149  0.004  3.6649  4.106    0 4.760 7.070 6.262 5.207 4.581 4.074 3.337 2.722 2.648
0.0152 0.01508 6.60000 1.2000000477 2.5068948796    1.200  0.043  3.6701  4.106    0 4.662 6.882 6.111 5.076 4.467 3.972 3.255 2.657 2.586
0.0152 0.01508 6.60000 1.2155925035 2.5090092529    1.215  0.055  3.6717  4.106    0 4.633 6.826 6.066 5.037 4.433 3.941 3.230 2.638 2.567
0.0152 0.01508 6.60000 1.2500000000 2.5134610955    1.250  0.083  3.6753  4.105    0 4.563 6.693 5.960 4.945 4.352 3.869 3.171 2.591 2.523
0.0152 0.01508 6.60000 1.2999999523 2.5194498592    1.300  0.126  3.6806  4.101    0 4.456 6.493 5.800 4.804 4.228 3.757 3.079 2.517 2.451
0.0152 0.01508 6.60000 1.3455376625 2.5244611620    1.346  0.157  3.6850  4.101    0 4.376 6.340 5.679 4.700 4.138 3.676 3.013 2.465 2.402
0.0152 0.01508 6.60000 1.3500001431 2.5249313723    1.350  0.161  3.6855  4.101    0 4.366 6.322 5.665 4.687 4.127 3.666 3.005 2.458 2.395
0.0152 0.01508 6.60000 1.4000000954 2.5299650415    1.400  0.205  3.6909  4.094    0 4.256 6.121 5.506 4.549 4.005 3.555 2.912 2.383 2.322
0.0152 0.01508 6.60000 1.4500000477 2.5346015836    1.450  0.246  3.6960  4.089    0 4.155 5.933 5.358 4.420 3.891 3.452 2.827 2.314 2.256
0.0152 0.01508 6.60000 1.5000000000 2.5388844597    1.500  0.286  3.7010  4.085    0 4.056 5.754 5.218 4.300 3.784 3.354 2.746 2.248 2.192
0.0152 0.01508 6.60000 1.5405100584 2.5421210095    1.540  0.317  3.7050  4.081    0 3.979 5.613 5.107 4.205 3.700 3.277 2.683 2.197 2.142
0.0152 0.01508 6.60000 1.5499999523 2.5428511323    1.550  0.324  3.7060  4.080    0 3.959 5.577 5.079 4.182 3.679 3.257 2.667 2.184 2.129
0.0152 0.01508 6.60000 1.5931094885 2.5460422923    1.593  0.359  3.7104  4.075    0 3.872 5.421 4.957 4.077 3.585 3.172 2.595 2.125 2.073
0.0152 0.01508 6.60000 1.6000000238 2.5465340628    1.600  0.366  3.7112  4.073    0 3.856 5.393 4.935 4.057 3.568 3.155 2.582 2.114 2.062
0.0152 0.01508 6.60000 1.6500000954 2.5499614852    1.649  0.413  3.7167  4.061    0 3.737 5.189 4.773 3.919 3.442 3.040 2.484 2.032 1.981
0.0152 0.01508 6.60000 1.6663862467 2.5510333977    1.666  0.429  3.7185  4.057    0 3.698 5.122 4.719 3.872 3.400 3.001 2.450 2.004 1.954
0.0152 0.01508 6.60000 1.7000000477 2.5531580802    1.699  0.462  3.7223  4.047    0 3.615 4.981 4.607 3.776 3.313 2.921 2.382 1.946 1.898
0.0152 0.01508 6.60000 1.7139468193 2.5540115557    1.713  0.475  3.7238  4.043    0 3.581 4.924 4.561 3.736 3.278 2.888 2.354 1.922 1.874
0.0152 0.01508 6.60000 1.7500000000 2.5561455243    1.749  0.512  3.7278  4.032    0 3.491 4.775 4.441 3.634 3.184 2.801 2.280 1.858 1.812
0.0152 0.01508 6.60000 1.7653720379 2.5570249653    1.764  0.527  3.7295  4.028    0 3.454 4.714 4.391 3.592 3.146 2.765 2.249 1.832 1.786
0.0152 0.01508 6.60000 1.8000000715 2.5589429150    1.799  0.565  3.7335  4.015    0 3.358 4.560 4.266 3.485 3.047 2.674 2.170 1.763 1.719
0.0152 0.01508 6.60000 1.8499999046 2.5615671142    1.849  0.622  3.7395  3.993    0 3.215 4.333 4.079 3.325 2.900 2.536 2.051 1.659 1.617
0.0152 0.01508 6.60000 1.8658697605 2.5623662906    1.865  0.641  3.7414  3.985    0 3.167 4.260 4.017 3.272 2.852 2.491 2.011 1.624 1.583
0.0152 0.01508 6.60000 1.9000000954 2.5640331317    1.899  0.690  3.7460  3.963    0 3.045 4.079 3.864 3.140 2.729 2.376 1.909 1.534 1.494
0.0152 0.01508 6.60000 1.9290320873 2.5653977224    1.928  0.733  3.7500  3.942    0 2.938 3.921 3.729 3.023 2.621 2.274 1.819 1.453 1.414
0.0152 0.01508 6.60000 1.9500001669 2.5663542767    1.950  0.768  3.7532  3.925    0 2.850 3.795 3.619 2.928 2.533 2.190 1.744 1.386 1.349
0.0152 0.01508 6.60000 1.9674006701 2.5671303022    1.967  0.798  3.7558  3.909    0 2.774 3.689 3.527 2.847 2.457 2.119 1.681 1.329 1.292
0.0152 0.01508 6.60000 2.0000000000 2.5685424513    2.000  0.862  3.7613  3.875    0 2.615 3.468 3.332 2.677 2.299 1.970 1.546 1.208 1.172
0.0152 0.01508 6.60000 2.0266213417 2.5696569738    2.026  0.918  3.7662  3.843    0 2.474 3.272 3.158 2.526 2.157 1.837 1.427 1.100 1.066
0.0152 0.01508 6.60000 2.0499999523 2.5706083333    2.050  0.970  3.7708  3.814    0 2.344 3.098 3.000 2.388 2.029 1.716 1.318 1.002 0.969
0.0152 0.01508 6.60000 2.0506143570 2.5706329994    2.050  0.972  3.7709  3.814    0 2.341 3.093 2.996 2.384 2.026 1.713 1.315 0.999 0.966
0.0152 0.01508 6.60000 2.0763449669 2.5716509360    2.076  1.029  3.7762  3.783    0 2.197 2.898 2.819 2.231 1.884 1.580 1.196 0.892 0.861
0.0152 0.01508 6.60000 2.0999999046 2.5725614918    2.099  1.081  3.7814  3.756    0 2.066 2.719 2.657 2.092 1.755 1.460 1.090 0.798 0.767
0.0152 0.01508 6.60000 2.1086897850 2.5728900989    2.108  1.101  3.7834  3.747    0 2.018 2.656 2.598 2.041 1.708 1.416 1.051 0.764 0.734
0.0152 0.01508 6.60000 2.1374576092 2.5739560624    2.136  1.164  3.7905  3.718    0 1.861 2.442 2.400 1.874 1.555 1.275 0.928 0.657 0.628
